CIDER DB	Source	Source_ID		OrchardDB v0.1	Source
			FALSE	Fusarium poae	
			FALSE	Lecythophora sp. AK0013	
			FALSE	Nematocida displodere	
			FALSE	Rasamsonia emersonii CBS 393.64	
			FALSE	Entamoeba histolytica HM-1:IMSS	
			FALSE	Abortiporus biennis	
			FALSE	Abortiporus biennis CCBS 521	
			FALSE	Abortiporus biennis CIRM-BRFM1778	
			FALSE	Absidia glauca	
			FALSE	Achaetomium strumarium CBS333.67	
			FALSE	Acidomyces richmondensis BFW	
			FALSE	Acremonium chrysogenum ATCC 11550	
			FALSE	Adineta vaga	
			FALSE	Aliquandostipite khaoyaiensis	
			FALSE	Aliquandostipite khaoyaiensis CBS 118232	
			FALSE	Albugo candida 2VRR	
			FALSE	Alternaria alternata 133aPRJ	
			FALSE	Amaranthus hypochondriacus	
			FALSE	Amphiamblys sp. WSBS2006	
			FALSE	Amylocystis lapponica SKaAmylap13	
			FALSE	Amylostereum chailletii	
			FALSE	Amylostereum chailletii DWAch2	
			FALSE	Anacardium occidentale	
			FALSE	Ananas comosus	
			FALSE	Anncaliia algerae PRA109	
			FALSE	Anncaliia algerae PRA339	
			FALSE	Anoplophora glabripennis	
			FALSE	Anthracocystis flocculosa PF-1	
			FALSE	Antrodia serialis	
			FALSE	Antrodia serialis Sig1Antser10	
			FALSE	Aotus nancymaae	
			FALSE	Apiosordaria backusii CBS 540.89	
			FALSE	Apodospora peruviana CBS 118394	
			FALSE	Armillaria cepistipes	
			FALSE	Armillaria cepistipes B5	
			FALSE	Armillaria ostoyae C18/9	
			FALSE	Armillaria solidipes	
			FALSE	Arthroderma otae CBS 113480	
			FALSE	Aschersonia aleyrodis RCEF 2490	
			FALSE	Ascochyta rabiei	
			FALSE	Ascochyta rabiei ArDII	
			FALSE	Ascoidea rubescens DSM 1968	
			FALSE	Ascosphaera apis ARSEF 7405	
			FALSE	Asparagus officinalis	
			FALSE	Aspergillus acristatulus CBS 119.55	
			FALSE	Aspergillus amylovorus CBS 600.67	
			FALSE	Aspergillus bisporus CBS 707.71	
			FALSE	Aspergillus bombycis	
			FALSE	Aspergillus bombycis NRRL 26010	
			FALSE	Aspergillus brasiliensis CBS 101740	
			FALSE	Aspergillus brevijanus CBS 111.46	
			FALSE	Aspergillus calidoustus	
			FALSE	Aspergillus candidus CBS 102.13	
			FALSE	Aspergillus chevalieri CBS 522.65	
			FALSE	Aspergillus clavatus	
			FALSE	Aspergillus cristatus	
			FALSE	Aspergillus cristatus GZAAS20.1005	
			FALSE	Aspergillus desertorum CBS 653.73	
			FALSE	Aspergillus filifera CBS 114510	
			FALSE	Aspergillus fischeri NRRL 181	
			FALSE	Aspergillus flavus	
			FALSE	Aspergillus flavus AF70	
			FALSE	Aspergillus fumigatus	
			FALSE	Aspergillus fumigatus var. RP-2014	
			FALSE	Aspergillus fumigatus Z5	
			FALSE	Aspergillus funiculosus CBS 116.56	
			FALSE	Aspergillus glaucus CBS 516.65	
			FALSE	Aspergillus indicus	
			FALSE	Aspergillus insolitus CBS 384.61	
			FALSE	Aspergillus lentulus	
			FALSE	Aspergillus multicolor	
			FALSE	Aspergillus neoauricomus CBS112787	
			FALSE	Aspergillus neoechinulatus CBS120.55	
			FALSE	Aspergillus nidulans FGSC A4	
			FALSE	Aspergillus niger	
			FALSE	Aspergillus niger ATCC 13496	
			FALSE	Aspergillus nomius NRRL 13137	
			FALSE	Aspergillus ochraceoroseus	
			FALSE	Aspergillus ochraceoroseus SRRC1432	
			FALSE	Aspergillus olivicola	
			FALSE	Aspergillus oryzae	
			FALSE	Aspergillus oryzae 100-8	
			FALSE	Aspergillus oryzae 3.042	
			FALSE	Aspergillus parasiticus SU-1	
			FALSE	Aspergillus parvulus CBS 136.61	
			FALSE	Aspergillus penicilloides CBS 540.65	
			FALSE	Aspergillus phoenicis ATCC 13157	
			FALSE	Aspergillus rambellii	
			FALSE	Aspergillus rambellii SRRC1468	
			FALSE	Aspergillus recurvatus	
			FALSE	Aspergillus restrictus CBS 118.33	
			FALSE	Aspergillus robustus CBS 428.77	
			FALSE	Aspergillus roseoglobulosus CBS112800	
			FALSE	Aspergillus ruber CBS 135680	
			FALSE	Aspergillus sclerotiorum CBS 549.65	
			FALSE	Aspergillus stella-maris CBS 113639	
			FALSE	Aspergillus stercoraria CBS 428.93	
			FALSE	Aspergillus taichungensis IBT 19404	
			FALSE	Aspergillus triticus CBS266.81	
			FALSE	Aspergillus tubingensis CBS 134.48	
			FALSE	Aspergillus udagawae	
			FALSE	Aspergillus udagawae IFM 46973	
			FALSE	Aspergillus undulatus CBS 261.88	
			FALSE	Aspergillus unguis CBS132.55	
			FALSE	Aspergillus ustus	
			FALSE	Aspergillus venezuelensis CBS 868.97	
			FALSE	Aspergillus versicolor CBS 583.65	
			FALSE	Aspergillus welwitschiae CBS139.54b	
			FALSE	Aspergillus wentii DTO 134E9	
			FALSE	Aspergillus zonatus CBS 506.65	
			FALSE	Aureobasidium melanogenum CBS 110374	
			FALSE	Aureobasidium namibiae CBS 147.97	
			FALSE	Aureobasidium pullulans EXF-150	
			FALSE	Aureobasidium subglaciale EXF-2481	
			FALSE	Babesia bovis T2Bo	
			FALSE	Batrachochytrium dendrobatidis JEL423	
			FALSE	Batrachochytrium salamandrivorans	
			FALSE	Baudoinia panamericana UAMH 10762	
			FALSE	Beauveria bassiana	
			FALSE	Beauveria bassiana D1-5	
			FALSE	Belgica antarctica	
			FALSE	Bigelowiella natans CCMP2755	
			FALSE	Bipolaris maydis ATCC 48331	
			FALSE	Bipolaris maydis C5	
			FALSE	Bipolaris oryzae ATCC 44560	
			FALSE	Bipolaris sorokiniana ND90Pr	
			FALSE	Bipolaris victoriae FI3	
			FALSE	Bipolaris zeicola 26-R-13	
			FALSE	Bisporella sp. PMI_857	
			FALSE	Blastomyces gilchristii SLH14081	
			FALSE	Blastomyces percursus	
			FALSE	Blumeria graminis f. sp. hordei DH14	
			FALSE	Blumeria graminis f. sp. tritici	
			FALSE	Blumeria graminis f. sp. tritici 96224	
			FALSE	Blumeria graminis f.sp. hordei DH14	
			FALSE	Blyttiomyces helicus single-cell	
			FALSE	Bombardia bombarda	
			FALSE	Bombardia bombarda SMH3391-2	
			FALSE	Botryobasidium botryosum FD-172 SS1	
			FALSE	Botryococcus braunii	
			FALSE	Botrytis cinerea B05.10	
			FALSE	Botrytis cinerea BcDW1	
			FALSE	Brachypodium hybridum	
			FALSE	Brachypodium stacei	
			FALSE	Brachypodium sylvaticum	
			FALSE	Brassica napus	
			FALSE	Brassica oleracea capitata	
			FALSE	Brassica rapa FPsc	
			FALSE	Brettanomyces bruxellensis AWRI1499	
			FALSE	Byssochlamys spectabilis No. 5	
			FALSE	Calocera cornea HHB12733	
			FALSE	Calocera viscosa TUFC12733	
			FALSE	Candida albicans 12C	
			FALSE	Candida albicans 19F	
			FALSE	Candida albicans Ca6	
			FALSE	Candida albicans GC75	
			FALSE	Candida albicans L26	
			FALSE	Candida albicans P34048	
			FALSE	Candida albicans P37005	
			FALSE	Candida albicans P37037	
			FALSE	Candida albicans P37039	
			FALSE	Candida albicans P57055	
			FALSE	Candida albicans P57072	
			FALSE	Candida albicans P60002	
			FALSE	Candida albicans P75010	
			FALSE	Candida albicans P75016	
			FALSE	Candida albicans P75063	
			FALSE	Candida albicans P76055	
			FALSE	Candida albicans P76067	
			FALSE	Candida albicans P78042	
			FALSE	Candida albicans P78048	
			FALSE	Candida albicans P87	
			FALSE	Candida albicans P94015	
			FALSE	Candida auris	
			FALSE	Candida glabrata CBS 138	
			FALSE	Candida intermedia	
			FALSE	Candida maltosa Xu316	
			FALSE	Candida tenuis ATCC 10573	
			FALSE	Canis lupus familiaris	
			FALSE	Caulochytrium protostelioides ATCC 52028	
			FALSE	Cavia aperea	
			FALSE	Cebus capucinus imitator	
			FALSE	Ceraceosorus bombacis	
			FALSE	Ceratocystis platani	
			FALSE	Cercocebus atys	
			FALSE	Cercophora caudata CBS 606.72	
			FALSE	Cercophora newfieldiana SMH2532-1	
			FALSE	Cercophora scortea SMH4131-1	
			FALSE	Chaetomium globosum CBS 148.51	
			FALSE	Chenopodium quinoa	
			FALSE	Choanephora cucurbitarum	
			FALSE	Chromochloris zofingiensis	
			FALSE	Chroomonas mesostigmatica CCMP1168	
			FALSE	Chytridium lagenaria	
			FALSE	Chytridium lagenaria Arg66	
			FALSE	Circinella umbellata	
			FALSE	Circinella umbellata NRRL1351	
			FALSE	Cladorrhinum bulbillosum	
			FALSE	Cladorrhinum bulbillosum DJ3	
