Aspne1_GeneCatalog_proteins_20160629.aa.fasta	2184044	DNA	v1.0	
Aspneo1_GeneCatalog_proteins_20140612.aa.fasta	1448310	DNA	v1.0	
Aspneoa1_GeneCatalog_proteins_20160629.aa.fasta	1883083	DNA	v1.0	
Aspni_bvT_1_GeneCatalog_proteins_20140302.aa.fasta	1353008	DNA	v1.0	
Aspni_DSM_1_GeneCatalog_proteins_20130526.aa.fasta	425011	DNA		17259976
Aspni_NRRL3_1_GeneCatalog_proteins_20140311.aa.fasta	1451139	DNA		
Aspni7_GeneCatalog_proteins_20131226.aa.fasta	380704	DNA	v4.0	21543515
Aspnid1_GeneCatalog_proteins_20110130.aa.fasta	162425	DNA		22080559
Aspnom13137_1_GeneCatalog_proteins_20160919.aa.fasta	1509407	DNA		
Aspnov1_GeneCatalog_proteins_20140201.aa.fasta	1392255	DNA	v1.0	29317534
Aspoch1_GeneCatalog_proteins_20140127.aa.fasta	1392256	DNA	v1.0	29317534
Aspoch1432_1_GeneCatalog_proteins_20160917.aa.fasta	138278	DNA		
Aspoli1_1_GeneCatalog_proteins_20160309.aa.fasta	1250372	DNA		
Aspor1_GeneCatalog_proteins_20120808.aa.fasta	510516	DNA		22080559
Aspparv1_GeneCatalog_proteins_20160414.aa.fasta	41750	DNA	v1.0	
Asppeni1_GeneCatalog_proteins_20160413.aa.fasta	41959	DNA	v1.0	
Aspph1_GeneCatalog_proteins_20140307.aa.fasta	1353007	DNA	v1.0	
Asppip1_GeneCatalog_proteins_20140724.aa.fasta	1448313	DNA	v1.0	
Aspram1_GeneCatalog_proteins_20160917.aa.fasta	308745	DNA		
Asprec1_1_GeneCatalog_proteins_20160405.aa.fasta	41761	DNA		
Aspres1_GeneCatalog_proteins_20160629.aa.fasta	5064	DNA	v1.0	
Asprobu1_GeneCatalog_proteins_20160413.aa.fasta	138281	DNA	v1.0	
Aspros1_GeneCatalog_proteins_20160629.aa.fasta	1250373	DNA	v1.0	
Aspsac1_GeneCatalog_proteins_20140605.aa.fasta	1450539	DNA	v1.0	
Aspsc1_GeneCatalog_proteins_20160516.aa.fasta	138282	DNA	v1.0	
Aspscl1_GeneCatalog_proteins_20140623.aa.fasta	1450535	DNA	v1.0	
Aspscle1_GeneCatalog_proteins_20140720.aa.fasta	1448318	DNA	v1.0	
Aspste1_GeneCatalog_proteins_20140201.aa.fasta	1392250	DNA	v1.0	29317534
Aspstec1_1_GeneCatalog_proteins_20160404.aa.fasta	1883081	DNA	v1.0	
Aspstel1_1_GeneCatalog_proteins_20160404.aa.fasta	1810926	DNA	v1.0	
Aspsy1_GeneCatalog_proteins_20120625.aa.fasta	1036612	DNA	v1.0	28196534
Asptaic1_GeneCatalog_proteins_20160414.aa.fasta	482145	DNA	v1.0	29317534
Aspte1_GeneCatalog_proteins_20120919.aa.fasta	341663	DNA		22080559
Asptr1_GeneCatalog_proteins_20160629.aa.fasta	478866	DNA	v1.0	
Asptu1_GeneCatalog_proteins_20120711.aa.fasta	5068	DNA	v1.0	28196534
Aspuda1_GeneCatalog_proteins_20160920.aa.fasta	91492	DNA		26251487
Aspund1_1_GeneCatalog_proteins_20160404.aa.fasta	1810928	DNA	v1.0	
Aspung1_GeneCatalog_proteins_20160614.aa.fasta	40381	DNA	v1.0	
Aspuva1_GeneCatalog_proteins_20140531.aa.fasta	1448315	DNA	v1.0	
Aspvad1_GeneCatalog_proteins_20140612.aa.fasta	1448311	DNA	v1.0	
Aspve1_GeneCatalog_proteins_20120621.aa.fasta	46472	DNA	v1.0	28196534
Aspven1_GeneCatalog_proteins_20160614.aa.fasta	1810929	DNA	v1.0	
Aspvio1_GeneCatalog_proteins_20140719.aa.fasta	1450538	DNA	v1.0	
Aspwe1_GeneCatalog_proteins_20120711.aa.fasta	5066	DNA	v1.0	28196534
Aspwel1_GeneCatalog_proteins_20160629.aa.fasta	1341132	DNA	v1.0	
Aspzo1_GeneCatalog_proteins_20121010.aa.fasta	41063	DNA	v1.0	28196534
Astpho2_GeneCatalog_proteins_20111209.aa.fasta 	763042	DNA	v2.0	
Atrsp2_GeneCatalog_proteins_20130826.aa.fasta	34420	DNA	v2.0	
Atrsp2_GeneCatalog_proteins_20130826.aa.fasta	1938712	DNA	v1.0	
Aulhe2_GeneCatalog_proteins_20130401.aa.fasta	1176130	DNA	v2.0	
Auramp1_GeneCatalog_proteins_20160719.aa.fasta	97359	DNA	v1.0	
Aurde3_1_GeneCatalog_proteins_20130729.aa.fasta	1331295	DNA	v2.0	22745431
Aurpu_var_mel1_GeneCatalog_proteins_20130418.aa.fasta	1043003	DNA		24984952
Aurpu_var_nam1_GeneCatalog_proteins_20130418.aa.fasta	1043004	DNA		24984952
Aurpu_var_pul1_GeneCatalog_proteins_20130219.aa.fasta	1043002	DNA		24984952
Aurpu_var_sub1_GeneCatalog_proteins_20120515.aa.fasta	1043005	DNA		24984952
Aurvu1_GeneCatalog_proteins_20140723.aa.fasta	40419	DNA	v1.0	
Babin1_GeneCatalog_proteins_20120306.aa.fasta	984486	DNA	v1.0	27535936
Bacci1_GeneCatalog_proteins_20130730.aa.fasta	1314798	DNA	v1.0	
Basme2finSC_GeneCatalog_proteins_20150701.aa.fasta	1314790	DNA	v1.0	28481340
Basun1_GeneCatalog_proteins_20150127.aa.fasta	1230402	DNA		
Batde5_best_proteins.fasta	684364	DNA	v1.0	
Bauco1_GeneCatalog_proteins_20110511.aa.fasta	717646	DNA	v1.0	23236275
Beaba1_GeneCatalog_proteins_20130926.aa.fasta	655819	DNA		22761991
Bimnz1_GeneCatalog_proteins_20150128.aa.fasta	1447943	DNA	v1.0	
Bisnum1_GeneCatalog_proteins_20160826.aa.fasta	97378	DNA	v1.0	
Bissp1_GeneCatalog_proteins_20161122.aa.fasta	1954211	DNA	v1.0	
Bjead1_1_GeneCatalog_proteins_20110614.aa.fasta	5331	DNA	v1.0	23935031
Blabri1_GeneCatalog_proteins_20160901.aa.fasta	64508	DNA	v1.0	
Blade1_GeneCatalog_proteins_20130826.aa.fasta	559298	DNA		26439490
Blatri1_GeneCatalog_proteins_20160404.aa.fasta	4850	DNA	v1.0	
Blugr1_GeneCatalog_proteins_20131023.aa.fasta	546991	DNA		
Blugra1_GeneCatalog_proteins_20170921.aa.fasta	1268274	DNA		23852167
Blyhe1_GeneCatalog_proteins_20160509.aa.fasta	388810	DNA		
Boeex1_GeneCatalog_proteins_20171129.aa.fasta  	749465	DNA	v1.0	
Boled1_GeneCatalog_proteins_20130211.aa.fasta	36056	DNA	v1.0	
Bolvit1_GeneCatalog_proteins_20160525.aa.fasta	34439	DNA	v1.0	
Bombar1_GeneCatalog_proteins_20180327.aa.fasta 	1868209	DNA	v1.0	
