Name		OLD JGI ID	OLD NCBI Tax ID	JGI ID	Version	Publication	Portal Link
Rhamphospora nymphaeae CBS 172.38	FALSE			Rhanym2_1	v1.0		https://mycocosm.jgi.doe.gov/Rhanym2_1
Rhizophagus cerebriforme DAOM 227022	FALSE			Rhice1_1	v1.0	30636349	https://mycocosm.jgi.doe.gov/Rhice1_1
Rhizophagus diaphanus	FALSE			Rhidi1	v1.0	30636349	https://mycocosm.jgi.doe.gov/Rhidi1
Rhizophagus irregularis DAOM 197198	FALSE			Rhiir2_1	v2.0	29355972	https://mycocosm.jgi.doe.gov/Rhiir2_1
Rhizophagus irregularis A1	FALSE			RhiirA1_1	v1.0	29355972	https://mycocosm.jgi.doe.gov/RhiirA1_1
Rhizophagus irregularis A4	FALSE			RhiirA4	v1.0	29355972	https://mycocosm.jgi.doe.gov/RhiirA4
Rhizophagus irregularis A5	FALSE			RhiirA5	v1.0	29355972	https://mycocosm.jgi.doe.gov/RhiirA5
Rhizophagus irregularis B3	FALSE			RhiirB3	v1.0	29355972	https://mycocosm.jgi.doe.gov/RhiirB3
Rhizophagus irregularis C2	FALSE			RhiirC2	v1.0	29355972	https://mycocosm.jgi.doe.gov/RhiirC2
Rhizopus stolonifer NRRL 66455	FALSE			Rhisto1	v1.0		https://mycocosm.jgi.doe.gov/Rhisto1
Rhizopogon truncatus FC74	FALSE			Rhitru1	v1.0		https://mycocosm.jgi.doe.gov/Rhitru1
Rhizina undulata CBS 300.56	FALSE			Rhiund1	v1.0		https://mycocosm.jgi.doe.gov/Rhiund1
Rhizopogon vulgaris FC72	FALSE			Rhivul1	v1.0		https://mycocosm.jgi.doe.gov/Rhivul1
Rhodocollybia butyracea CCBAS 279	FALSE			Rhobu1	v1.0		https://mycocosm.jgi.doe.gov/Rhobu1
Rhodosporidium diobovatum 08-225	FALSE			Rhodia1_1	v1.0		https://mycocosm.jgi.doe.gov/Rhodia1_1
Rhodosporidium toruloides ATCC26217	FALSE			Rhoto_ATCC26217_1	v1.0		https://mycocosm.jgi.doe.gov/Rhoto_ATCC26217_1
Rhodosporidium toruloides IFO0559_1	FALSE			Rhoto_IFO0559_1		26479039	https://mycocosm.jgi.doe.gov/Rhoto_IFO0559_1
Rhodosporidium toruloides IFO0880	FALSE			Rhoto_IFO0880_2	v2.0	26479039	https://mycocosm.jgi.doe.gov/Rhoto_IFO0880_2
Rhodosporidium toruloides IFO0880	FALSE			Rhoto_IFO0880_4	v4.0	29521624	https://mycocosm.jgi.doe.gov/Rhoto_IFO0880_4
Rhodosporidium toruloides IFO1236_1	FALSE			Rhoto_IFO1236_1		26479039	https://mycocosm.jgi.doe.gov/Rhoto_IFO1236_1
Roridomyces roridus 9284	FALSE			Rorror1	v1.0		https://mycocosm.jgi.doe.gov/Rorror1
Russula earlei BPL698	FALSE			Rusear1	v1.0		https://mycocosm.jgi.doe.gov/Rusear1
Russula emetica Přilba	FALSE			Ruseme1	v1.0		https://mycocosm.jgi.doe.gov/Ruseme1
Russula seminuda PSC4341-TAS1	FALSE			Russem1	v1.0		https://mycocosm.jgi.doe.gov/Russem1
Saccharomycopsis capsularis NRRL Y-17639	FALSE			Sacca1		29760453	https://mycocosm.jgi.doe.gov/Sacca1
Saturnispora dispora NRRL Y-1447	FALSE			Satdi1		29760453	https://mycocosm.jgi.doe.gov/Satdi1
Schizophyllum commune 207.1	FALSE			Schco2071_1	v1.0		https://mycocosm.jgi.doe.gov/Schco2071_1
Schizophyllum commune 223.1	FALSE			Schco2231_1	v1.0		https://mycocosm.jgi.doe.gov/Schco2231_1
Schizophyllum commune 225.1	FALSE			Schco2251_1	v1.0		https://mycocosm.jgi.doe.gov/Schco2251_1
Schizophyllum commune 227.1	FALSE			Schco2271_1	v1.0		https://mycocosm.jgi.doe.gov/Schco2271_1
Schizophyllum commune 227.2	FALSE			Schco2272_1	v1.0		https://mycocosm.jgi.doe.gov/Schco2272_1
Scheffersomyces coipomoensis NRRL Y-17651T	FALSE			Schcoi1	v1.0		https://mycocosm.jgi.doe.gov/Schcoi1
Scheffersomyces queiroziae UFMG-CLM-5.1	FALSE			Schque1	v1.0		https://mycocosm.jgi.doe.gov/Schque1
Scheffersomyces stipitis NRRL Y-7124	FALSE			Schsti1	v1.0		https://mycocosm.jgi.doe.gov/Schsti1
Sistotrema raduloides OMC1660	FALSE			Sisrad1	v1.0		https://mycocosm.jgi.doe.gov/Sisrad1
Slooffia pilatii Y-17178	FALSE			Slopil1	v1.0		https://mycocosm.jgi.doe.gov/Slopil1
Smittium culicis ID-206-W2	FALSE			SmiculW2_1		27343289	https://mycocosm.jgi.doe.gov/SmiculW2_1
Smittium culicis GSMNP	FALSE			SmicuMNP_2		27343289	https://mycocosm.jgi.doe.gov/SmicuMNP_2
